codigo,nome_do_curso,acertos_do_primeiro,acertos_do_ultimo,total_de_vagas,ano
426.0,letras  lingua portuguesa  noturno,60.68,40.17,40.0,2004
429.0,letras  secretar executivo ingles bel,54.85,42.12,40.0,2004
223.0,matematica  licenciatura  diurno,73.95,35.45,65.0,2004
224.0,matematica  licenciatura  noturno,58.93,36.48,40.0,2004
222.0,matematica e computacao cientifica,70.31,40.75,30.0,2004
103.0,medicina,79.66,71.41,100.0,2004
9.0,nutricao,66.57,56.18,40.0,2004
104.0,odontologia,72.14,58.08,90.0,2004
308.0,pedagogia,70.58,37.93,100.0,2004
319.0,psicologia,70.68,53.24,80.0,2004
217.0,quimica,71.75,43.49,80.0,2004
309.0,servico social  diurno,53.64,36.38,80.0,2004
339.0,servico social  noturno,53.62,37.1,60.0,2004
238.0,sistemas de informacao  noturno,69.92,50.45,100.0,2004
,,,,,2005
301.0,administracao  diurno,64.12,48.6,90.0,2005
316.0,administracao  noturno,62.57,46.1,90.0,2005
501.0,agronomia,59.79,43.41,90.0,2005
207.0,arquitetura e urbanismo,67.64,53.18,80.0,2005
324.0,biblioteconomia  noturno,43.64,30.08,80.0,2005
108.0,ciencias biologicas,70.93,54.09,60.0,2005
302.0,ciencias contabeis  diurno,56.59,38.93,80.0,2005
317.0,ciencias contabeis  noturno,54.72,40.42,80.0,2005
208.0,ciencias da computacao,68.54,48.95,100.0,2005
304.0,ciencias economicas  diurno,61.73,40.7,90.0,2005
318.0,ciencias economicas  noturno,62.28,40.27,90.0,2005
310.0,ciencias sociais  diurno,60.73,41.29,40.0,2005
320.0,ciencias sociais  noturno,63.14,38.01,40.0,2005
450.0,cinema,63.32,51.34,30.0,2005
420.0,design,71.84,51.12,60.0,2005
303.0,direito  diurno,73.04,57.22,80.0,2005
5.0,direito  noturno,66.93,54.92,80.0,2005
404.0,educacao fisica,59.84,42.14,120.0,2005
101.0,enfermagem,61.09,42.14,70.0,2005
220.0,eng de controle e automacao industrial,74.89,61.68,60.0,2005
201.0,engenharia civil,67.85,50.47,100.0,2005
215.0,engenharia de alimentos,65.16,49.52,45.0,2005
234.0,engenharia de aquicultura,63.57,46.36,60.0,2005
233.0,engenharia de materiais,61.35,48.51,60.0,2005
212.0,engenharia de producao civil,61.83,49.77,35.0,2005
213.0,engenharia de producao eletrica,71.99,52.22,35.0,2005
214.0,engenharia de producao mecanica,66.07,55.75,35.0,2005
202.0,engenharia eletrica,76.11,53.34,100.0,2005
203.0,engenharia mecanica,74.05,57.89,100.0,2005
216.0,engenharia quimica,69.4,54.68,45.0,2005
211.0,engenharia sanitaria e ambiental,65.78,49.92,80.0,2005
102.0,farmacia,68.32,49.7,120.0,2005
329.0,filosofia  noturno,53.69,35.6,35.0,2005
328.0,filosofia  vespertinonoturno,58.3,38.88,35.0,2005
2.0,fisica  bacharelado  diurno,74.62,42.86,45.0,2005
225.0,fisica  licenciatura  noturno,55.32,36.94,65.0,2005
331.0,geografia  diurno,59.37,40.88,40.0,2005
332.0,geografia  noturno,55.26,38.04,40.0,2005
326.0,historia  diurno,60.22,43.08,45.0,2005
327.0,historia  noturno,57.89,39.03,45.0,2005
415.0,jornalismo,67.79,56.21,60.0,2005
421.0,letras  lingua alema,54.87,35.17,40.0,2005
423.0,letras  lingua espanhola,49.76,37.97,40.0,2005
424.0,letras  lingua francesa,55.1,36.49,40.0,2005
425.0,letras  lingua inglesa,62.44,42.25,40.0,2005
427.0,letras  lingua italiana,52.76,36.93,40.0,2005
428.0,letras  lingua portuguesa,59.93,39.27,40.0,2005
426.0,letras  lingua portuguesa  noturno,57.85,38.09,40.0,2005
429.0,letras  secretariado executivo ingles,57.49,39.93,40.0,2005
223.0,matematica  licenciatura  diurno,63.95,35.15,65.0,2005
224.0,matematica  licenciatura  noturno,71.52,36.32,40.0,2005
222.0,matematica e computacao cientifica,53.97,35.81,30.0,2005
103.0,medicina,77.58,68.7,100.0,2005
9.0,nutricao,65.25,49.99,40.0,2005
104.0,odontologia,68.67,52.61,90.0,2005
308.0,pedagogia,51.74,34.44,100.0,2005
319.0,psicologia,64.91,49.98,80.0,2005
217.0,quimica,56.83,39.24,80.0,2005
309.0,servico social  diurno,52.11,35.35,80.0,2005
339.0,servico social  noturno,47.15,34.66,60.0,2005
238.0,sistemas de informacao  noturno,63.29,47.09,100.0,2005
301.0,administracao  diurno,73.5,54.16,90.0,2006
316.0,administracao  noturno,70.01,53.76,90.0,2006
501.0,agronomia,69.18,49.76,90.0,2006
207.0,arquitetura e urbanismo,77.57,60.63,80.0,2006
324.0,biblioteconomia  noturno,54.13,39.34,80.0,2006
108.0,ciencias biologicas,77.18,61.26,60.0,2006
302.0,ciencias contabeis  diurno,67.3,45.84,80.0,2006
317.0,ciencias contabeis  noturno,65.3,49.08,80.0,2006
208.0,ciencias da computacao,77.07,56.15,100.0,2006
304.0,ciencias economicas  diurno,70.32,49.59,90.0,2006
318.0,ciencias economicas  noturno,71.7,48.5,90.0,2006
310.0,ciencias sociais  diurno,69.96,49.96,40.0,2006
320.0,ciencias sociais  noturno,67.07,48.63,40.0,2006
450.0,cinema,72.3,61.09,30.0,2006
420.0,design,77.51,57.62,60.0,2006
303.0,direito  diurno,78.9,65.47,80.0,2006
5.0,direito  noturno,77.79,64.21,80.0,2006
444.0,educacao fisica  bacharelado,67.11,49.37,60.0,2006
404.0,educacao fisica  licenciatura,63.21,45.69,60.0,2006
101.0,enfermagem,63.82,47.94,70.0,2006
220.0,eng de controle e automacao ind,79.11,68.11,60.0,2006
201.0,engenharia civil,74.47,58.31,100.0,2006
215.0,engenharia de alimentos,72.69,57.03,45.0,2006
234.0,engenharia de aquicultura,66.26,49.97,60.0,2006
233.0,engenharia de materiais,68.31,58.17,60.0,2006
212.0,engenharia de producao civil,69.4,59.76,35.0,2006
213.0,engenharia de producao eletrica,72.02,59.52,35.0,2006
214.0,engenharia de producao mecanica,76.88,65.33,35.0,2006
202.0,engenharia eletrica,80.86,60.72,100.0,2006
203.0,engenharia mecanica,79.79,66.05,100.0,2006
216.0,engenharia quimica,74.33,60.74,45.0,2006
211.0,engenharia sanitaria e ambiental,76.06,58.42,80.0,2006
102.0,farmacia,74.95,54.78,120.0,2006
329.0,filosofia  noturno,63.51,48.0,35.0,2006
328.0,filosofia  vespertinonoturno,59.39,43.4,35.0,2006
2.0,fisica  bacharelado  diurno,76.97,51.15,45.0,2006
225.0,fisica  licenciatura  noturno,65.37,39.61,65.0,2006
331.0,geografia  diurno,64.85,48.93,40.0,2006
332.0,geografia  noturno,60.78,49.05,40.0,2006
326.0,historia  diurno,67.27,48.62,45.0,2006
327.0,historia  noturno,65.29,50.63,45.0,2006
415.0,jornalismo,75.88,63.56,60.0,2006
421.0,letras  lingua alema,60.43,43.87,40.0,2006
423.0,letras  lingua espanhola,51.81,42.39,40.0,2006
424.0,letras  lingua francesa,58.77,45.21,40.0,2006
425.0,letras  lingua inglesa,62.63,49.84,40.0,2006
427.0,letras  lingua italiana,56.66,41.9,40.0,2006
428.0,letras  lingua portuguesa,63.83,46.32,40.0,2006
426.0,letras  lingua portuguesa  not,67.98,46.43,40.0,2006
429.0,letras  secretariado exec ingles,62.44,46.57,40.0,2006
223.0,matematica  licenc  diurno,62.59,37.37,65.0,2006
224.0,matematica  licenciatura  not,75.46,41.64,40.0,2006
222.0,matematica e comput cientifica,69.88,43.04,30.0,2006
103.0,medicina,82.62,73.31,100.0,2006
9.0,nutricao,70.67,57.57,40.0,2006
104.0,odontologia,70.69,57.75,90.0,2006
308.0,pedagogia,65.27,41.12,100.0,2006
319.0,psicologia,74.44,56.99,80.0,2006
217.0,quimica,78.43,47.77,80.0,2006
309.0,servico social  diurno,70.93,38.45,80.0,2006
339.0,servico social  noturno,58.93,40.82,60.0,2006
238.0,sistemas de informacao  noturno,67.05,54.4,100.0,2006
301.0,administracao  diurno,83.38,58.24,90.0,2007
316.0,administracao  noturno,73.76,52.98,90.0,2007
501.0,agronomia,70.84,46.67,90.0,2007
207.0,arquitetura e urbanismo,80.74,63.33,80.0,2007
324.0,biblioteconomia  noturno,60.4,29.52,80.0,2007
108.0,ciencias biologicas,83.6,65.07,60.0,2007
302.0,ciencias contabeis  diurno,70.18,49.14,80.0,2007
317.0,ciencias contabeis  noturno,75.51,46.74,80.0,2007
208.0,ciencias da computacao,82.27,57.87,100.0,2007
304.0,ciencias economicas  diurno,73.83,51.02,90.0,2007
318.0,ciencias economicas  noturno,74.58,47.92,90.0,2007
310.0,ciencias sociais  diurno,71.79,52.14,40.0,2007
320.0,ciencias sociais  noturno,65.26,45.4,40.0,2007
450.0,cinema,75.42,61.76,30.0,2007
420.0,design,74.77,60.04,60.0,2007
303.0,direito  diurno,81.26,69.05,80.0,2007
5.0,direito  noturno,83.48,67.07,80.0,2007
444.0,educacao fisica  bacharelado,74.71,50.24,60.0,2007
